Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,165989.5051,170028.6557,167517.0597,185978.6093,189487.1471,173688.1894
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,105462.0126,106899.2935,110193.2138,117254.7404,113218.7133,116356.158
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,102005.6256,106885.8785,111820.5815,113023.1856,117098.4463,107079.4798
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,62012.48493,62861.63912,69774.02897,79107.60499,80886.61574,85422.54287
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,85082.52686
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,67329.67779
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,56863.3715,58021.4005,60109.65573,63064.41841,65279.52903,63206.52108
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,55542.96607,56451.5175,58605.35385,61391.28562,63341.62427,61161.15354
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,484.1531374,500.2149113,517.7715723,570.723922,554.0993893,567.6698923
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,497.3170391,471.3188225,467.0742317,560.8073582,580.7168706,543.9503925
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,588.2288628,501.4151655,496.6822949,533.9915333,521.7548367,509.376594
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,377.4229177,402.1916451,450.9006579,475.9538139,467.9080323,492.7958712
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1329.635962,1069.839957,1011.521216,740.746767,610.9278615,486.4188163
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,467.2354316,475.9555568,515.2933234,523.9459714,522.9895243,471.4914963
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,589.85905,428.9266729,461.4150941,503.3179252,506.6416391,448.5442807
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,386.437817,389.8220615,384.4634014,389.8313955,419.3948077,438.2551656
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,305.5496525,260.5652208,253.8263541,238.783467,228.2135892,238.9907259